artsid;artsnavn;klassifikation
14861;Træløber, Nordlig (ssp. familiaris);Alm
14863;Træløber, Sydlig (ssp. macrodactyla);Alm
14869;Træløber/Korttået Træløber;Alm
14870;Korttået Træløber;Alm
14900;Pungmejse;SUB
15080;Pirol;SUB
15130;Brun Tornskade;SU
15140;Turkestantornskade;SU
15150;Rødrygget Tornskade;Alm
15170;Langhalet Tornskade;SU
15190;Rosenbrystet Tornskade;SU
15195;Stor Tornskade, Ørkentornskade (ssp. pallidirostris);SU
15200;Stor Tornskade;Alm
15230;Rødhovedet Tornskade;SU
15249;Tornskade sp.;Alm
15390;Skovskade;Alm
15470;[Iberisk Blåskade];Alm
15490;Husskade;Alm
15570;Nøddekrige;SUB
15571;Nøddekrige, Tyknæbbet (ssp. caryocatactes);SUB
15572;Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);SUB
15600;Allike;Alm
15601;Allike, Almindelig (ssp. monedula);Alm
15602;Allike, Halsbåndsallike (ssp. soemmerringii);SU
15603;Allike, Vestlig (ssp. spermologus);Alm
15610;Sibirisk Allike;SU
15630;Råge;Alm
15670;Krage;Alm
15671;Krage, Sortkrage (ssp. corone);Alm
15673;Krage, Gråkrage (ssp. cornix);Alm
15679;Sortkrage x Gråkrage (hybrid);Alm
15700;[Broget Krage];Alm
15720;Ravn;Alm
15749;Kragefugl sp.;Alm
15820;Stær;Alm
15830;Ensfarvet Stær;SU
15840;Rosenstær;SUB
